gameWeek,predictTeam,predict_proba,probaGuess,favorite,lineGuess,Line
13,Washington Redskins,0.687301076052,9.0,Washington Redskins,10.0,4.0
13,Arizona Cardinals,0.765887636109,13.0,Arizona Cardinals,11.0,-5.5
13,Pittsburgh Steelers,0.73797480322,11.0,Pittsburgh Steelers,12.0,6.5
13,Carolina Panthers,0.840453076336,14.0,Carolina Panthers,13.0,-7.0
13,Chicago Bears,0.721829735581,10.0,Chicago Bears,14.0,7.0
13,Cincinnati Bengals,0.885612259178,16.0,Cincinnati Bengals,15.0,-9.5
13,New England Patriots,0.870095346162,15.0,New England Patriots,16.0,9.5
14,Miami Dolphins,0.431877682977,1.0,New York Giants,1.0,-1.0
14,Jacksonville Jaguars,0.521079547705,6.0,Jacksonville Jaguars,2.0,1.0
14,Philadelphia Eagles,0.453878573199,4.0,Buffalo Bills,3.0,-1.5
14,San Francisco 49ers,0.453132281983,3.0,Cleveland Browns,4.0,1.5
14,Los Angeles Rams,0.438581821801,2.0,Detroit Lions,5.0,-2.5
14,New England Patriots,0.627350995244,7.0,New England Patriots,6.0,-3.0
14,Washington Redskins,0.497746271192,5.0,Chicago Bears,7.0,3.0
14,Cincinnati Bengals,0.686592687073,9.0,Cincinnati Bengals,8.0,3.0
14,Tampa Bay Buccaneers,0.653803784406,8.0,Tampa Bay Buccaneers,9.0,4.0
14,New York Jets,0.750048594728,10.0,New York Jets,10.0,7.0
14,Green Bay Packers,0.811147816215,13.0,Green Bay Packers,11.0,7.0
14,Denver Broncos,0.811042032293,12.0,Denver Broncos,12.0,7.5
14,Carolina Panthers,0.859488441481,14.0,Carolina Panthers,13.0,7.5
14,Seattle Seahawks,0.807979401294,11.0,Seattle Seahawks,14.0,-9.0
14,Kansas City Chiefs,0.888508025531,16.0,Kansas City Chiefs,15.0,10.0
14,Arizona Cardinals,0.870123413765,15.0,Arizona Cardinals,16.0,11.0
15,Houston Texans,0.478953838419,4.0,Indianapolis Colts,1.0,0.1
15,Washington Redskins,0.370710532064,1.0,Buffalo Bills,2.0,-1.0
15,Miami Dolphins,0.46028323278,3.0,San Diego Chargers,3.0,1.5
15,Tampa Bay Buccaneers,0.439716304191,2.0,Los Angeles Rams,4.0,1.5
15,New York Jets,0.620324837551,8.0,New York Jets,5.0,-3.0
15,Green Bay Packers,0.551222532222,6.0,Green Bay Packers,6.0,-3.0
15,New Orleans Saints,0.566935618368,7.0,New Orleans Saints,7.0,3.0
15,Arizona Cardinals,0.662598032768,9.0,Arizona Cardinals,8.0,-3.5
15,Jacksonville Jaguars,0.515397127936,5.0,Jacksonville Jaguars,9.0,3.5
