date,time,Visitor,Home Team
2016-12-24,4:05 pm,Indianapolis Colts,Oakland Raiders
2016-12-24,4:25 pm,Arizona Cardinals,Seattle Seahawks
2016-12-24,4:25 pm,San Francisco 49ers,Los Angeles Rams
2016-12-24,8:25 pm,Cincinnati Bengals,Houston Texans
2016-12-25,4:30 pm,Baltimore Ravens,Pittsburgh Steelers
2016-12-25,8:30 pm,Denver Broncos,Kansas City Chiefs
2016-12-26,8:30 pm,Detroit Lions,Dallas Cowboys
2017-01-01,1:00 pm,Baltimore Ravens,Cincinnati Bengals
2017-01-01,1:00 pm,Buffalo Bills,New York Jets
2017-01-01,1:00 pm,Carolina Panthers,Tampa Bay Buccaneers
2017-01-01,1:00 pm,Chicago Bears,Minnesota Vikings
2017-01-01,1:00 pm,Cleveland Browns,Pittsburgh Steelers
2017-01-01,1:00 pm,Dallas Cowboys,Philadelphia Eagles
2017-01-01,1:00 pm,Green Bay Packers,Detroit Lions
2017-01-01,1:00 pm,Houston Texans,Tennessee Titans
2017-01-01,1:00 pm,Jacksonville Jaguars,Indianapolis Colts
2017-01-01,1:00 pm,New England Patriots,Miami Dolphins
2017-01-01,1:00 pm,New Orleans Saints,Atlanta Falcons
2017-01-01,1:00 pm,New York Giants,Washington Redskins
2017-01-01,4:25 pm,Arizona Cardinals,Los Angeles Rams
2017-01-01,4:25 pm,Kansas City Chiefs,San Diego Chargers
2017-01-01,4:25 pm,Oakland Raiders,Denver Broncos
2017-01-01,4:25 pm,Seattle Seahawks,San Francisco 49ers
